"Cortas de madera según titularidad del monte. Concejos"

"Ámbito territorial";"TOTAL 2000";"TOTAL 2001";"TOTAL 2006";"TOTAL 2007";"TOTAL 2009";"TOTAL 2010";"TOTAL 2011";"TOTAL 2012";"TOTAL 2013";"TOTAL 2014";"TOTAL 2015";"TOTAL 2016";"TOTAL 2017";"TOTAL 2018";"Montes de particulares 2000";"Montes de particulares 2001";"Montes de particulares 2006";"Montes de particulares 2007";"Montes de particulares 2009";"Montes de particulares 2010";"Montes de particulares 2011";"Montes de particulares 2012";"Montes de particulares 2013";"Montes de particulares 2014";"Montes de particulares 2015";"Montes de particulares 2016";"Montes de particulares 2017";"Montes de particulares 2018";"Montes de utilidad pública 2000";"Montes de utilidad pública 2001";"Montes de utilidad pública 2006";"Montes de utilidad pública 2007";"Montes de utilidad pública 2009";"Montes de utilidad pública 2010";"Montes de utilidad pública 2011";"Montes de utilidad pública 2012";"Montes de utilidad pública 2013";"Montes de utilidad pública 2014";"Montes de utilidad pública 2015";"Montes de utilidad pública 2016";"Montes de utilidad pública 2017";"Montes de utilidad pública 2018";"Montes consorciados o en convenio 2000";"Montes consorciados o en convenio 2001";"Montes consorciados o en convenio 2006";"Montes consorciados o en convenio 2007";"Montes consorciados o en convenio 2009";"Montes consorciados o en convenio 2010";"Montes consorciados o en convenio 2011";"Montes consorciados o en convenio 2012";"Montes consorciados o en convenio 2013";"Montes consorciados o en convenio 2014";"Montes consorciados o en convenio 2015";"Montes consorciados o en convenio 2016";"Montes consorciados o en convenio 2017";"Montes consorciados o en convenio 2018"
"33037 Mieres";6127;6979;2811;3201;3464;2402;883;4547;3300;1042;3397;4318;2584;612;6127;6979;2811;3201;3464;2402;883;4547;3300;1042;3397;4318;2584;612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33038 Morcín";627;422;120;164;82;121;0;166;140;18;2;910;90;107;627;422;120;164;82;121;0;166;140;18;2;910;90;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33039 Muros de Nalón";4320;2917;4029;1471;1363;1346;2067;1597;2955;2476;2582;2098;4442;8035;3895;2431;2903;1471;1363;1346;2067;1597;2955;2476;2582;2098;4442;8035;0;486;1126;0;0;0;0;0;0;0;0;0;0;0;425;0;0;0;0;0;0;0;0;0;0;0;0;0
"33040 Nava";1148;2148;4989;720;966;2149;1652;4874;4564;3595;6421;9621;1855;2600;1148;2142;1660;720;966;2149;1652;963;2008;3595;6421;3706;776;1838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3329;0;0;0;0;3911;2556;0;0;5915;1079;762
"33041 Navia";6153;7437;13776;9547;20849;4489;4029;6312;4893;12965;30193;15142;21187;20387;6153;7437;13776;9547;20849;4489;4029;6312;4893;12965;30193;15142;21187;20387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33042 Noreña";50;10;239;0;1256;0;0;0;0;0;73;0;0;386;50;10;239;0;1256;0;0;0;0;0;73;0;0;386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33043 Onís";285;414;92;176;60;0;21;0;0;37;320;2519;707;505;272;414;87;176;60;0;21;0;0;37;320;2519;240;505;13;0;5;0;0;0;0;0;0;0;0;0;467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33044 Oviedo";9596;7158;4841;1548;6017;2210;4833;1363;4106;2683;25267;6772;5991;6555;9596;7158;4841;1548;6017;2210;4833;1363;4106;2683;25267;6772;5991;6555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33045 Parres";2123;2943;4363;166;409;3853;2631;767;7958;7167;6227;2054;3832;2625;2092;2943;4363;166;409;3853;2631;767;6814;3176;2998;2054;3832;1580;31;0;0;0;0;0;0;0;1144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3991;3229;0;0;1045
"33046 Peñamellera Alta";308;151;63;423;0;383;518;0;0;0;0;0;0;40;253;151;63;423;0;383;518;0;0;0;0;0;0;40;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33047 Peñamellera Baja";2720;2758;0;1827;530;4101;597;597;0;2025;3847;11008;1199;0;2360;2758;0;1827;530;4101;0;0;0;2025;3847;1008;705;0;0;0;0;0;0;0;0;597;0;0;0;10000;494;0;360;0;0;0;0;0;597;0;0;0;0;0;0;0
